t	y
1	3.96768
2	-2.23051
3	1.69602
4	-1.61072
5	3.794
6	-4.81795
7	3.24042
8	-2.09591
9	3.38644
10	-5.51502
11	4.91037
12	-4.96475
13	3.38405
14	-3.58847
15	4.76524
16	-4.69656
17	3.76277
18	-3.04911
19	2.3086
20	-1.25016
21	-0.1731
22	1.12836
23	-0.31608
24	-0.69147
25	-0.50394
26	-0.88988
27	1.49553
28	0.32204
29	0.20583
30	-0.48825
31	1.08068
32	-1.34773
33	2.1655
34	-0.42197
35	-1.23066
36	1.32122
37	-1.35192
38	0.74027
39	1.69054
40	-1.37711
41	-1.27311
42	0.70685
43	0.48364
44	0.46766
45	-2.43735
46	2.33355
47	-1.62665
48	-0.61616
49	1.73435
50	-0.90051
51	0.14399
52	2.11996
53	-4.05623
54	3.7647
55	-1.12155
56	-0.6161
57	-0.72898
58	1.60101
59	-2.16161
60	2.34664
61	-1.0399
62	1.245
63	-1.55188
64	-0.72913
65	0.52223
66	2.04215
67	-1.27546
68	0.82967
69	-0.91096
70	-0.44084
71	0.52354
72	0.04518
73	-0.93577
74	0.70463
75	0.34363
76	-0.98329
77	1.67831
78	-3.74636
79	3.54823
80	-1.71535
81	2.26076
82	-2.00162
83	2.29392
84	-3.77013
85	4.95616
86	-3.39457
87	1.41547
88	0.2287
89	-2.36981
90	5.33297
91	-5.78552
92	3.60057
93	-1.61447
94	-1.80468
95	1.46062
96	-0.41903
97	-0.4344
98	0.64698
99	-0.23332
100	0.814224
